ABQ,Albuquerque International Sunport,Albuquerque,NM
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
AUS,Austin-Bergstrom International Airport,Austin,TX
BDL,Bradley International Airport,Windsor Locks,CT
BNA,Nashville International Airport,Nashville,TN
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA
BWI,Baltimore-Washington International Airport,Baltimore,MD
CLE,Cleveland Hopkins International Airport,Cleveland,OH
CLT,Charlotte Douglas International Airport,Charlotte,NC
CMH,Port Columbus International Airport,Columbus,OH
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY
DAL,Dallas Love Field,Dallas,TX
DCA,Ronald Reagan Washington National Airport,Arlington,VA
DEN,Denver International Airport,Denver,CO
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX
DTW,Detroit Metropolitan Airport,Detroit,MI
EWR,Newark Liberty International Airport,Newark,NJ
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL
HNL,Honolulu International Airport,Honolulu,HI
HOU,William P. Hobby Airport,Houston,TX
IAD,Washington Dulles International Airport,Chantilly,VA
IAH,George Bush Intercontinental Airport,Houston,TX
IND,Indianapolis International Airport,Indianapolis,IN
JAX,Jacksonville International Airport,Jacksonville,FL
JFK,John F. Kennedy International AirportÂ (New York International Airport),New York,NY
LAS,McCarran International Airport,Las Vegas,NV
LAX,Los Angeles International Airport,Los Angeles,CA
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY
MCI,Kansas City International Airport,Kansas City,MO
MCO,Orlando International Airport,Orlando,FL
MDW,Chicago Midway International Airport,Chicago,IL
MEM,Memphis International Airport,Memphis,TN
MIA,Miami International Airport,Miami,FL
MKE,General Mitchell International Airport,Milwaukee,WI
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA
OAK,Oakland International Airport,Oakland,CA
OKC,Will Rogers World Airport,Oklahoma City,OK
OMA,Eppley Airfield,Omaha,NE
ORD,Chicago O'Hare International Airport,Chicago,IL
PDX,Portland International Airport,Portland,OR
